study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a000160,matthew,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,http://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,other,"Not a familiar page, i don't know if it is a repository",CHILDES,other,The link lead to the homepage of CHILDES and the user interface was not friendly in locating the file,no,NA,"The link lead to the homepage of the repository, which made the user manually find the data to the document, after looking for it for 10 minutes, I could not locate the file",http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,NA,https://childes.talkbank.org/,childes.talkbank.org,TRUE,"iter01: others coded, want to recode to change link_work to other, due to having to search from generic home page and to add additional links"
a000160,michelle,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,http://childes.talkbank.org/,yes,NA,https://childes.talkbank.org/,yes,NA,TALKBANK,other,"Cannot seem to find specific data to the article, tried going on 'Browse Database' but no indication of which data was used",no,NA,Cannot find appropriate data via website given in article,http://childes.talkbank.org/,http://childes.talkbank.org/,childes.talkbank.org,NA,https://childes.talkbank.org/,childes.talkbank.org,TRUE,"iter01: others coded, want to recode to change link_work to other, due to having to search from generic home page and to add additional links"
a000168,adrian,2020-04-05,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR21600.v17,yes,NA,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,yes,NA,ICPSR,other,Data had been updated to V21. Link to updated data provided and downloaded.,yes,NA,Files were hard to find and took a long time to download. File size was 143MB so did not upload to Drive,NA,http://doi.org/10.3886/ICPSR21600.v17,doi.org/10.3886/ICPSR21600.v17,NA,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,TRUE,"iter01: others coded, want to recode to treat it the same as other ICPSR case with a superceded data version"
a000168,evelyn,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.3886/ICPSR21600.v17,other,Multiple versions of the data are available,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,yes,NA,Interuniversity Consortium for Political and Social Research,other,"Multiple versions of the data are available, however files for each version are present",other,Latest version of the data was greater than 100MB,"Multiple versions of the data are available, however files for each version are present. The latest version of the data was greater than 100MB and was therefore not downloaded.",NA,http://doi.org/10.3886/ICPSR21600.v17,doi.org/10.3886/ICPSR21600.v17,NA,https://www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,www.icpsr.umich.edu/web/DSDR/studies/21600/version/17,TRUE,"iter01: others coded, want to recode to treat it the same as other ICPSR case with a superceded data version"
a000260,michelle,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,NA,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,NA,INDI,other,Need to request access to retrieve data using a request access form,no,NA,"Could not download data, due to having to request for data",NA,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,NA,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,TRUE,"iter01: others coded, want to recode to determine whether data used in study is publicly available or requires an agreement"
a000260,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,1,1,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,yes,NA,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,no,NA,NA,other,"Article claims data is accessible in given link, but I could not see any clear links to download data. Hyperlinks that could lead to such data has a paywall - beyond remit of UoM student account.",no,NA,NA,NA,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,NA,http://fcon_1000.projects.nitrc.org/indi/enhanced/access.html,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,TRUE,"iter01: others coded, want to recode to determine whether data used in study is publicly available or requires an agreement"
a000280,steve,2020-11-04,yes,NA,yes,NA,yes,NA,1,1,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203,other,"the link is to the overall project page, which in turn links to many datasets","https://www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346",yes,NA,ICPSR,other,"Account required, may need to be from an approved institution",no,NA,"link chain to data files was 2 steps, somewhat clear which of the available datasets were relevant, account/access needed to download files",NA,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/203,www.icpsr.umich.edu/icpsrweb/ICPSR/series/203,"https://www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346","https://www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346","www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346",FALSE,"iter01: steve coded, issue is that account registration required"
a000295,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://www.iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data",https://www.iris-database.org/iris/app/home/detail?id=york:935345,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,Had to search from IRIS homepage,https://www.iris-database.org,https://www.iris-database.org,iris-database.org,https://www.iris-database.org/iris/app/home/detail?id=york:935345,https://www.iris-database.org/iris/app/home/detail?id=york:935345,www.iris-database.org/iris/app/home/detail?id=york:935345,FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a000300,steve,2020-08-26,yes,NA,yes,NA,yes,NA,2,2,https://osf.io/9tm36/,yes,NA,https://osf.io/9tm36/,yes,NA,OSF,no,NA,NA,NA,"url works, but displays message ""resource deleted: user has deleted this content""",https://osf.io/9tm36/,https://osf.io/9tm36/,osf.io/9tm36,NA,https://osf.io/9tm36/,osf.io/9tm36,FALSE,"iter01: steve coded, issue is a deleted OSF project"
a000400,steve,2020-08-09,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,1,1,https://doi.org/10.1002/jnr.24441,yes,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441,no,NA,NA,other,"Some files exist, but in the body of the text, it is noted that raw data is available upon request",yes,NA,"There are data files included as supplementary material, but raw data was not included - it is available on request",NA,https://doi.org/10.1002/jnr.24441,doi.org/10.1002/jnr.24441,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441,onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441,FALSE,"iter01: steve coded, issue is that raw data is only available on request, although some other files were supplied"
