study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a000367,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,no,"""DOI Not Found' error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,recoded by me to deal with problem link,American Journal of Political Science,10.1111/ajps.12365,2018,"Campbell, David E.; Layman, Geoffrey C.; Green, John C.; Sumaktoyo, Nathanael G.",Putting Politics First: The Impact of Politics on American Religious and Secular Orientations
a000367,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YM4LDG,other,Link provided does not work but searching on Harvard Dataverse located the data repository,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Link provided did not work, had to search for correct repo",NA,https://doi.org/10.7910/DVN/YM4LDG,doi.org/10.7910/DVN/YM4LDG,FALSE,recoded by me to deal with problem link,American Journal of Political Science,10.1111/ajps.12365,2018,"Campbell, David E.; Layman, Geoffrey C.; Green, John C.; Sumaktoyo, Nathanael G.",Putting Politics First: The Impact of Politics on American Religious and Secular Orientations
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,3,European Bioinformations Institute Accession No. PRJEB11414,other,Needed to navigate to European Bioinformatics Institute website and search by accession number,https://www.ebi.ac.uk/ena/browser/view/PRJEB11414,yes,NA,European Nucleotide Archive,yes,NA,partial,Files exceed 100MB - single file plus metadata downloaded,Large genetic dataset many GB,European Bioinformations Institute Accession No. PRJEB11414,European Bioinformations Institute Accession No. PRJEB11414,European Bioinformations Institute Accession No. PRJEB11414,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,4,European Bioinformations Institute Accession No. PRJEB30873,other,Needed to navigate to European Bioinformatics Institute website and search by accession number,https://www.ebi.ac.uk/ena/browser/view/PRJEB30873,yes,NA,European Nucleotide Archive,yes,NA,yes,NA,Was able to download all files listed on page,European Bioinformations Institute Accession No. PRJEB30873,European Bioinformations Institute Accession No. PRJEB30873,European Bioinformations Institute Accession No. PRJEB30873,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000391,michelle,2020-05-05,yes,NA,yes,NA,yes,NA,2,2,https://github.com/knights-lab/douc_gut_sites,yes,NA,https://github.com/knights-lab/douc_gut_sites,yes,NA,GITHUB,yes,NA,yes,NA,I didn't have any problems with this link,https://github.com/knights-lab/douc_gut_sites,https://github.com/knights-lab/douc_gut_sites,github.com/knights-lab/douc_gut_sites,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,2,https://github.com/knights-lab/douc_gut_sites,yes,NA,https://github.com/knights-lab/douc_gut_sites,yes,NA,Github,yes,NA,yes,NA,"Straightforward, no issues",https://github.com/knights-lab/douc_gut_sites,https://github.com/knights-lab/douc_gut_sites,github.com/knights-lab/douc_gut_sites,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000391,michelle,2020-05-05,yes,NA,yes,NA,yes,NA,2,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS DATABASE,yes,NA,other,Need to fill in a form to download data,Did not download data as form is required to be filled out,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000391,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS Database,yes,NA,yes,NA,I didn't have any problems with this article,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000391,steve,2020-09-02,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,4,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,https://www.iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"Straightforward, no issues",https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.22977,2019,"Clayton, Jonathan B.; Shields‐Cutler, Robin R.; Hoops, Susan L.; Al‐Ghalith, Gabriel A.; Sha, John C. M.; Johnson, Timothy J.; Knights, Dan",Bacterial community structure and function distinguish gut sites in captive red-shanked doucs (Pygathrix nemaeus)
a000400,steve,2020-08-09,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,1,1,https://doi.org/10.1002/jnr.24441,yes,NA,https://onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441,no,NA,NA,other,"Some files exist, but in the body of the text, it is noted that raw data is available upon request",yes,NA,"There are data files included as supplementary material, but raw data was not included - it is available on request",NA,https://doi.org/10.1002/jnr.24441,doi.org/10.1002/jnr.24441,FALSE,recoded by me to resolve issue with not-available data,Journal of Neuroscience Research,10.1002/jnr.24441,2019,"Tse, Karen; Hammond, Dean; Simpson, Deborah; Beynon, Robert J.; Beamer, Edward; Tymianski, Michael; Salter, Michael W.; Sills, Graeme J.; Thippeswamy, Thimmasettappa",The impact of postsynaptic density 95 blocking peptide (Tat-NR2B9c) and an iNOS inhibitor (1400W) on proteomic profile of the hippocampus in C57BL/6J mouse model of kainate-induced epileptogenesis
a000400,kongmanas,2020-04-08,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"There was no link to the repository, only supplementary information at the end of the article",NA,NA,NA,FALSE,recoded by me to resolve issue with not-available data,Journal of Neuroscience Research,10.1002/jnr.24441,2019,"Tse, Karen; Hammond, Dean; Simpson, Deborah; Beynon, Robert J.; Beamer, Edward; Tymianski, Michael; Salter, Michael W.; Sills, Graeme J.; Thippeswamy, Thimmasettappa",The impact of postsynaptic density 95 blocking peptide (Tat-NR2B9c) and an iNOS inhibitor (1400W) on proteomic profile of the hippocampus in C57BL/6J mouse model of kainate-induced epileptogenesis
a000400,sophia,2020-04-26,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,recoded by me to resolve issue with not-available data,Journal of Neuroscience Research,10.1002/jnr.24441,2019,"Tse, Karen; Hammond, Dean; Simpson, Deborah; Beynon, Robert J.; Beamer, Edward; Tymianski, Michael; Salter, Michael W.; Sills, Graeme J.; Thippeswamy, Thimmasettappa",The impact of postsynaptic density 95 blocking peptide (Tat-NR2B9c) and an iNOS inhibitor (1400W) on proteomic profile of the hippocampus in C57BL/6J mouse model of kainate-induced epileptogenesis
a000464,steve,2020-07-24,yes,NA,yes,NA,yes,NA,2,2,http://neurovault.org/collections/YYMVWBOF/,yes,NA,https://neurovault.org/collections/YYMVWBOF/,yes,NA,NeuroVault,yes,NA,yes,NA,"Downloaded files needed renaming, file extensions might be incorrect",http://neurovault.org/collections/YYMVWBOF/,http://neurovault.org/collections/YYMVWBOF/,neurovault.org/collections/YYMVWBOF,FALSE,recoded by me to include additional data source,Psychological Science,10.1177/0956797617699838,2017,"Brod, Garvin; Bunge, Silvia A.; Shing, Yee Lee",Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?
a000464,michelle,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/c8gbj/,yes,NA,https://osf.io/c8gbj/,yes,NA,OSF,yes,NA,yes,NA,"Under 'Open Practices' segment, it says individual level imaging data is available upon request",https://osf.io/c8gbj/,https://osf.io/c8gbj/,osf.io/c8gbj,FALSE,recoded by me to include additional data source,Psychological Science,10.1177/0956797617699838,2017,"Brod, Garvin; Bunge, Silvia A.; Shing, Yee Lee",Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?
a000464,steve,2020-07-24,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/c8gbj/,yes,NA,https://osf.io/c8gbj/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",https://osf.io/c8gbj/,https://osf.io/c8gbj/,osf.io/c8gbj,FALSE,recoded by me to include additional data source,Psychological Science,10.1177/0956797617699838,2017,"Brod, Garvin; Bunge, Silvia A.; Shing, Yee Lee",Does One Year of Schooling Improve Children’s Cognitive Control and Alter Associated Brain Activation?
a000493,steve,2020-09-02,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,2,2,BioProject Accession No. PRJNA574440,other,Needed to navigate to BioProject website and search by accession number,https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA574440,yes,NA,BioProject,yes,NA,partial,repo has 31 data files to download - just downloaded the first file in list,No hyperlink to data - just accession number and name of repo,BioProject Accession No. PRJNA574440,BioProject Accession No. PRJNA574440,BioProject Accession No. PRJNA574440,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.23061,2019,"Frankel, Jeffrey S.; Mallott, Elizabeth K.; Hopper, Lydia M.; Ross, Stephen R.; Amato, Katherine R.",The effect of captivity on the primate gut microbiome varies with host dietary niche
a000493,kongmanas,2020-04-18,yes,NA,yes,NA,yes,NA,1,1,https://www.iris‐database.org/iris/app/home/detail?id=york:934328,no,the link destination was not found,NA,NA,NA,NA,NA,NA,NA,NA,The provided link didn't work,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.23061,2019,"Frankel, Jeffrey S.; Mallott, Elizabeth K.; Hopper, Lydia M.; Ross, Stephen R.; Amato, Katherine R.",The effect of captivity on the primate gut microbiome varies with host dietary niche
a000493,nguyenlam,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://www.iris-database.org/iris/app/home/detail?id=york:934328,no,The link does not work.,NA,NA,NA,NA,NA,NA,NA,NA,The link does not work.,https://www.iris-database.org/iris/app/home/detail?id=york:934328,https://www.iris-database.org/iris/app/home/detail?id=york:934328,iris-database.org/iris/app/home/detail?id=york:934328,FALSE,recoded by me to add extra link by accession number,American Journal of Primatology,10.1002/ajp.23061,2019,"Frankel, Jeffrey S.; Mallott, Elizabeth K.; Hopper, Lydia M.; Ross, Stephen R.; Amato, Katherine R.",The effect of captivity on the primate gut microbiome varies with host dietary niche
