study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_note
a000082,michelle,2020-04-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/anc5m/,yes,NA,https://osf.io/anc5m/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,"No explicit data availability statement, links mentioned throughout body and in generic notes section at end"
a000082,oliver,2020-04-29,yes,NA,other,"Embedded within ""notes""",yes,NA,1,1,osf.io/anc5m/,yes,NA,https://osf.io/anc5m/,yes,NA,OSF,yes,NA,other,"Downloaded successfully, but zip file could not be extracted - operation not permitted",NA,FALSE,"No explicit data availability statement, links mentioned throughout body and in generic notes section at end"
a000140,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fpkn/,yes,NA,https://osf.io/4fpkn/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,At bottom of first page
a000140,oliver,2020-04-22,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,At bottom of first page
a000183,adrian,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,OSF,yes,NA,yes,NA,"There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data",FALSE,In body of text
a000183,phuong,2020-04-27,yes,NA,no,NA,yes,NA,1,1,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,https://osf.io/h6ckw/?view_only=ca786be8956247acae8ce79343a409a0,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,In body of text
a000211,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,At bottom of first page
a000211,sophia,2020-04-10,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8gyns/,yes,NA,https://osf.io/8gyns/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,At bottom of first page
a000216,adrian,2020-04-05,yes,NA,no,NA,yes,NA,1,1,https://osf.io/9nq3c/,yes,NA,https://osf.io/9nq3c/,yes,NA,OSF,yes,NA,yes,NA,Link was buried in a footnote and hard to find. There was no availbility statement,TRUE,In a footnote within main text
a000216,oliver,2020-04-09,yes,NA,other,Footnote,yes,NA,1,1,osf.io/9nq3c/,yes,NA,https://osf.io/9nq3c/,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,In a footnote within main text
a000275,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/Q8CSU8,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems,TRUE,Directly below abstract on first page
a000275,phuong,2020-04-27,yes,NA,no,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/Q8CSU8,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Directly below abstract on first page
a000302,phuong,2020-04-15,yes,NA,no,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/9AWUYJ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ,yes,NA,Havard Dataverse,yes,NA,yes,NA,The data badge was in black and white,FALSE,Directly below abstract on first page
a000302,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/9AWUYJ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,Directly below abstract on first page
a000305,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,Directly below abstract on first page
a000305,phuong,2020-04-27,yes,NA,no,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Directly below abstract on first page
a000305,sophia,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Directly below abstract on first page
a000315,evelyn,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/JTV6W6,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,Directly below abstract on first page
a000315,phuong,2020-04-15,yes,NA,no,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/JTV6W6,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6,yes,NA,Havard Dataverse,yes,NA,yes,NA,The data badge was in black and white,FALSE,Directly below abstract on first page
a000371,oliver,2020-04-04,yes,NA,other,"Mentions ""replication materials"" on Dataverse (Harvard specific version) but they seem to have omitted references to a source such as a link",no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Directly below abstract on first page
a000371,sophia,2020-04-07,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,article says all data is available on the American Journal of Political Science on the Harvard Dataverse Network,TRUE,Directly below abstract on first page
a000484,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,University of Hamburg OA,yes,NA,yes,NA,New repository type.,TRUE,Link directly below abstract on first page
a000484,michelle,2020-04-07,yes,NA,other,"Does not explicitly have a statement saying data is available, but there is a the text 'Open Data' with a hyperlink",yes,NA,1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,UNI HAMBURG,yes,NA,yes,NA,"No explicit statement saying data was available, but hyperlinks existed that linked to a site where data could be downloaded",FALSE,Link directly below abstract on first page
a000484,sophia,2020-04-26,yes,NA,yes,NA,other,"the article has the phrase ""open data"" which itself is a hyperlink",1,1,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,https://www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,University of Hamburg Open Access Portal,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Link directly below abstract on first page
a000502,evelyn,2020-05-30,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/8q769/,yes,NA,https://osf.io/8q769/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,In body of text
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,1,http://osf.io/5itqa,yes,NA,https://osf.io/5itqa,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,In body of text
a000502,michelle,2020-04-07,yes,NA,yes,NA,yes,NA,2,2,http://osf.io/8q769,yes,NA,https://osf.io/8q769,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,In body of text
a000502,oliver,2020-04-25,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,In body of text
a000639,aniruddah,2020-05-15,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/3r2q9/,yes,NA,https://osf.io/3r2q9/,yes,NA,OSF,yes,NA,yes,NA,No issues with this article.,TRUE,Link directly below abstract on first page
a000639,michelle,2020-04-29,yes,NA,no,NA,yes,NA,1,1,https://osf.io/3r2q9/,yes,NA,https://osf.io/3r2q9/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Link directly below abstract on first page
a000639,sophia,2020-04-20,yes,NA,other,"the article only had the words ""Open data"" which itself was a hyperlink. Does this count as a ""statement?""",yes,NA,1,1,https://osf.io/3r2q9/,yes,NA,https://osf.io/3r2q9/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Link directly below abstract on first page
a000664,phuong,2020-04-28,yes,NA,no,NA,yes,NA,1,1,https://osf.io/487v9/?view_only=dd53baba3ed945649cda7314fb10a957,yes,NA,https://osf.io/487v9/?view_only=dd53baba3ed945649cda7314fb10a957,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,In body of text
a000664,sophia,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/487v9/?view_only=dd53baba3ed945649cda7314fb10a957,yes,NA,https://osf.io/487v9/?view_only=dd53baba3ed945649cda7314fb10a957,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,In body of text
a000672,oliver,2020-04-27,no,NA,other,"""Supplemental material"" at bottom - but no mention of ""open"" data/pratices. Link itself does not lead to a data file.",no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Statement at end of article
a000672,sophia,2020-04-07,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/73puw/,yes,NA,https://osf.io/73puw/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,Statement at end of article
a000719,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ah54c/,yes,NA,https://osf.io/ah54c/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,In body of text
a000719,oliver,2020-04-24,yes,NA,other,"Mentioned incidentally, not explicit standalone data",yes,NA,1,1,osf.io/ah54c/,yes,NA,https://osf.io/ah54c/,yes,NA,OSF,yes,NA,other,"Lots of stratified files.Tested 1 batch of zip files - connection to host was successful, documents downloaded.",NA,FALSE,In body of text
a000719,sophia,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/ah54c/,yes,NA,https://osf.io/ah54c/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,In body of text
a000724,evelyn,2020-05-18,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/OKZMIY,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OKZMIY,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,Directly below abstract on first page
a000724,phuong,2020-04-22,yes,NA,no,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/OKZMIY.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OKZMIY,yes,NA,Havard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Directly below abstract on first page
a000724,sophia,2020-04-04,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/OKZMIY,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OKZMIY,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Directly below abstract on first page
a000750,evelyn,2020-04-16,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4fb7d,yes,NA,https://osf.io/4fb7d,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,FALSE,Mentioned in Acknowledgments section
a000750,oliver,2020-04-28,other,(see notes field),other,(not completed by coder),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Mentioned in Acknowledgments section
a000755,oliver,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,osf.io/hguz4/,yes,NA,https://osf.io/hguz4,yes,NA,OSF,yes,NA,yes,NA,NA,FALSE,"In footnote on first page, easy to miss"
a000755,phuong,2020-04-17,yes,NA,no,NA,yes,NA,1,1,https://osf.io/hguz4/,yes,NA,https://osf.io/hguz4/,yes,NA,OSF,yes,NA,yes,NA,The data link was put in the footnote,TRUE,"In footnote on first page, easy to miss"
a000799,adrian,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/6s8tc/,yes,NA,https://osf.io/6s8tc/,yes,NA,OSF,yes,NA,yes,NA,Data badge not prominent,TRUE,Statement at end of article
a000799,oliver,2020-04-21,no,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,Statement at end of article
a000808,evelyn,2020-05-22,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,TRUE,Link directly below abstract on first page
