study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code,review_note
a000244,steve,2020-08-08,yes,NA,yes,NA,yes,NA,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000275,nguyenlam,2020-04-08,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/Q8CSU8,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8,yes,NA,Harvard Dataverse,yes,NA,yes,NA,Not have any problems,NA,NA
a000275,phuong,2020-04-27,yes,NA,no,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/Q8CSU8,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000299,michelle,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zbu3x/,yes,NA,https://osf.io/zbu3x/,yes,NA,OSF,yes,NA,yes,NA,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: doi.org/10.1016/j.jesp.2019.04.008",NA,NA
a000299,oliver,2020-04-09,yes,NA,yes,NA,yes,NA,1,1,doi.org/10.1016/j.jesp.2019.04.008,other,Recursive loop,Not resolved,other,Not resolved,NA,other,Recursive loop,no,NA,NA,NA,NA
a000299,steve,2020-08-26,yes,NA,other,"Appendix A is explicitly called ""Supplemental data"" but is just a document, not data. Actual shared data is buried in body of article text.",yes,NA,1,1,https://osf.io/zbu3x/,yes,NA,https://osf.io/zbu3x/,yes,NA,OSF,yes,NA,yes,NA,"Straightforward, no issues",NA,NA
a000302,phuong,2020-04-15,yes,NA,no,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/9AWUYJ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ,yes,NA,Havard Dataverse,yes,NA,yes,NA,The data badge was in black and white,NA,NA
a000302,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/9AWUYJ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000305,evelyn,2020-05-13,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000305,phuong,2020-04-27,yes,NA,no,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000305,sophia,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000315,evelyn,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/JTV6W6,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,NA
a000315,phuong,2020-04-15,yes,NA,no,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/JTV6W6,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6,yes,NA,Havard Dataverse,yes,NA,yes,NA,The data badge was in black and white,NA,NA
a000330,oliver,2020-04-27,yes,NA,no,NA,yes,NA,1,1,doi.org/10.7910/DVN/WD3IUA,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA,yes,NA,Harvard version of Dataverse,yes,NA,yes,NA,NA,NA,NA
a000330,steve,2020-07-24,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/WD3IUA,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WD3IUA,yes,NA,Harvard Dataverse,yes,NA,yes,NA,The link in the PDF is for a different study - correct link can be found on JBPA dataverse page - https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB,NA,NA
a000371,oliver,2020-04-04,yes,NA,other,"Mentions ""replication materials"" on Dataverse (Harvard specific version) but they seem to have omitted references to a source such as a link",no,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
