study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,resolved_url_cleaned,review_coding,review_notes,Publication Title,DOI,Publication Year,Author,Title
a001398,kongmanas,2020-04-11,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/QTG6FQ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QTG6FQ,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://dx.doi.org/10.7910/DVN/QTG6FQ,dx.doi.org/10.7910/DVN/QTG6FQ,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QTG6FQ,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12297,2017,"Mondak, Jeffery J.; Hurwitz, Jon; Peffley, Mark; Testa, Paul",The Vicarious Bases of Perceived Injustice
a001398,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/QTG6FQ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QTG6FQ,yes,NA,Harvard Dataverse Network,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://dx.doi.org/10.7910/DVN/QTG6FQ,dx.doi.org/10.7910/DVN/QTG6FQ,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QTG6FQ,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12297,2017,"Mondak, Jeffery J.; Hurwitz, Jon; Peffley, Mark; Testa, Paul",The Vicarious Bases of Perceived Injustice
a001406,evelyn,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.17632/7tj8hpmnmt.1,yes,NA,https://data.mendeley.com/datasets/7tj8hpmnmt/1,yes,NA,Mendeley,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://dx.doi.org/10.17632/7tj8hpmnmt.1,dx.doi.org/10.17632/7tj8hpmnmt.1,data.mendeley.com/datasets/7tj8hpmnmt/1,FALSE,link_url was a DOI shortcut to a Mendeley repo - was able to match unique info in link_url to unique info in resolved_url,Journal of Experimental Social Psychology,10.1016/j.jesp.2019.02.004,2019,"Anglin, Stephanie M.",Do beliefs yield to evidence? Examining belief perseverance vs. change in response to congruent empirical findings
a001406,oliver,2020-04-25,yes,NA,yes,NA,yes,NA,1,1,dx.doi.org/10.17632/7tj8hpmnmt.1,yes,NA,https://data.mendeley.com/datasets/7tj8hpmnmt/1,yes,NA,Mendeley,yes,NA,yes,NA,NA,NA,dx.doi.org/10.17632/7tj8hpmnmt.1,dx.doi.org/10.17632/7tj8hpmnmt.1,data.mendeley.com/datasets/7tj8hpmnmt/1,FALSE,link_url was a DOI shortcut to a Mendeley repo - was able to match unique info in link_url to unique info in resolved_url,Journal of Experimental Social Psychology,10.1016/j.jesp.2019.02.004,2019,"Anglin, Stephanie M.",Do beliefs yield to evidence? Examining belief perseverance vs. change in response to congruent empirical findings
a001414,aniruddah,2020-05-01,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/XJQALC,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJQALC,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues with this article.,NA,http://doi.org/10.7910/DVN/XJQALC,doi.org/10.7910/DVN/XJQALC,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJQALC,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12447,2019,"Grewal, Sharan; Jamal, Amaney A.; Masoud, Tarek; Nugent, Elizabeth R.",Poverty and Divine Rewards: The Electoral Advantage of Islamist Political Parties
a001414,kongmanas,2020-04-14,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/XJQALC,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJQALC,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA,http://doi.org/10.7910/DVN/XJQALC,doi.org/10.7910/DVN/XJQALC,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XJQALC,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12447,2019,"Grewal, Sharan; Jamal, Amaney A.; Masoud, Tarek; Nugent, Elizabeth R.",Poverty and Divine Rewards: The Electoral Advantage of Islamist Political Parties
a001422,andy,2020-10-15,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.5284/1052664,yes,NA,https://archaeologydataservice.ac.uk/archives/view/breedon_nu_2019/,yes,NA,Archaeology Data Service,yes,NA,yes,NA,Multiple files arranged by data type,NA,https://doi.org/10.5284/1052664,doi.org/10.5284/1052664,archaeologydataservice.ac.uk/archives/view/breedon_nu_2019,NA,NA,Internet Archaeology,10.11141/ia.52.6,2019,"Whittaker, Christopher","Breedon Hill, Leicestershire: new surveys and their implications"
a001422,steve,2020-07-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.5284/1052664,yes,NA,https://archaeologydataservice.ac.uk/archives/view/breedon_nu_2019/,yes,NA,Archaeology Data Service,yes,NA,yes,NA,Multiple files split across different pages arranged by type of data,NA,https://doi.org/10.5284/1052664,doi.org/10.5284/1052664,archaeologydataservice.ac.uk/archives/view/breedon_nu_2019,NA,NA,Internet Archaeology,10.11141/ia.52.6,2019,"Whittaker, Christopher","Breedon Hill, Leicestershire: new surveys and their implications"
a001426,andy,2020-10-22,yes,NA,yes,NA,yes,NA,1,1,https://dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,yes,NA,https://catalogue.ceda.ac.uk/uuid/2503df629a8a485e8582e5150876b210,yes,NA,The CEDA Archive,yes,NA,other,Account required to access data,Account required to access data,NA,https://dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,catalogue.ceda.ac.uk/uuid/2503df629a8a485e8582e5150876b210,NA,NA,Geoscience Data Journal,10.1002/gdj3.75,2019,"Valdivieso, Maria; Owens, Mathew J.; Scott, Chris J.; Hawkins, Ed; Burt, Stephen; Craig, Philip",Thunderstorm occurrence at ten sites across Great Britain over 1884–1993
a001426,steve,2020-07-10,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,yes,NA,https://catalogue.ceda.ac.uk/uuid/2503df629a8a485e8582e5150876b210,yes,NA,The CEDA Archive,yes,NA,other,Account required to access data,Account required to access data,NA,http://dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,dx.doi.org/10.5285/2503df629a8a485e8582e5150876b210,catalogue.ceda.ac.uk/uuid/2503df629a8a485e8582e5150876b210,NA,NA,Geoscience Data Journal,10.1002/gdj3.75,2019,"Valdivieso, Maria; Owens, Mathew J.; Scott, Chris J.; Hawkins, Ed; Burt, Stephen; Craig, Philip",Thunderstorm occurrence at ten sites across Great Britain over 1884–1993
a001436,andy,2020-10-22,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/AT2FEZ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AT2FEZ,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No issues,NA,https://doi.org/10.7910/DVN/AT2FEZ,doi.org/10.7910/DVN/AT2FEZ,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AT2FEZ,NA,NA,Journal of Behavioral Public Administration,10.30636/jbpa.21.32,2019,"Deslatte, Aaron",A bayesian approach for behavioral public administration: Citizen assessments of local government sustainability performance
a001436,steve,2020-07-10,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/AT2FEZ,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AT2FEZ,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA,https://doi.org/10.7910/DVN/AT2FEZ,doi.org/10.7910/DVN/AT2FEZ,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AT2FEZ,NA,NA,Journal of Behavioral Public Administration,10.30636/jbpa.21.32,2019,"Deslatte, Aaron",A bayesian approach for behavioral public administration: Citizen assessments of local government sustainability performance
a001440,oliver,2020-04-27,yes,NA,yes,NA,yes,NA,1,1,dx.doi.org/10.7910/DVN/EBF7XW,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EBF7XW,yes,NA,OSF,yes,NA,yes,NA,NA,NA,dx.doi.org/10.7910/DVN/EBF7XW,dx.doi.org/10.7910/DVN/EBF7XW,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/EBF7XW,FALSE,link_url was a DOI shortcut to a Dataverse repo - was able to match unique info in link_url to unique info in resolved_url,American Journal of Political Science,10.1111/ajps.12278,2017,"Monogan, James E.; Konisky, David M.; Woods, Neal D.",Gone with the Wind: Federalism and the Strategic Location of Air Polluters
