article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a000393,matthew,2020-04-22,yes,,yes,,yes,,1,1,http://osf.io/9ge7n,yes,,https://osf.io/9ge7n,yes,,OSF,yes,,yes,,No problems with this article
a000535,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/rkf9p/,yes,,https://osf.io/rkf9p/,yes,,OSF,yes,,yes,,No problems with this article
a000550,matthew,2020-04-22,yes,,yes,,yes,,1,1,http://dx.doi.org/10.23668/psycharchives.2367,yes,,https://www.psycharchives.org/handle/20.500.12034/1999,yes,,PsychArchives,yes,,yes,,No problems with this article
a000570,matthew,2020-04-22,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/WGWMAV,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WGWMAV,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000595,matthew,2020-04-22,no,,yes,,yes,,1,1,https://doi.org/10.17632/42djnzsw8f,yes,,https://data.mendeley.com/datasets/42djnzsw8f/2,yes,,Mendeley Data,yes,,yes,,No problems with this article
a000635,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/XU8ZWB,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XU8ZWB,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000826,matthew,2020-04-22,yes,,yes,,yes,,1,1,osf.io/dc5t8,yes,,https://osf.io/dc5t8/,yes,,OSF,yes,,yes,,No problems with this article
a000911,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/kxdm9/,yes,,https://osf.io/kxdm9/,yes,,OSF,yes,,yes,,No problems with this article
a000950,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/32tsq/,yes,,https://osf.io/32tsq/,yes,,OSF,yes,,yes,,No problems with this article
a000988,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/n8wg4/?view_only=55de4fda913d450899e95c3052dcf79b,yes,,https://osf.io/n8wg4/?view_only=55de4fda913d450899e95c3052dcf79b,yes,,OSF,yes,,yes,,No problems with this article
a001052,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/735ru/,yes,,https://osf.io/735ru/,yes,,OSF,yes,,yes,,No problems with this article
a001067,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/yuv2m/,yes,,https://osf.io/yuv2m/,yes,,OSF,yes,,yes,,No problems with this article
a001086,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://figshare.com/articles/Fictional_First_Memories/6115676,yes,,https://figshare.com/articles/Fictional_First_Memories/6115676,yes,,figshare,yes,,yes,,No problems with this article
a001109,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/mcvt7/wiki/home/,yes,,https://osf.io/mcvt7/wiki/home/,yes,,OSF,yes,,yes,,No problems with this article
a001114,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/axphc/,yes,,https://osf.io/axphc,yes,,OSF,yes,,yes,,No problems with this article
a001179,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/9mdxw/?view_only=976405fbcdb94ba4bdf1988684ad92bf,yes,,https://osf.io/9mdxw/?view_only=976405fbcdb94ba4bdf1988684ad92bf,yes,,OSF,yes,,yes,,No problems with this article
a001219,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/ngm4h,yes,,https://osf.io/ngm4h/,yes,,OSF,yes,,yes,,No problems with this article
a001238,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/ut382/,yes,,https://osf.io/ut382/,yes,,OSF,yes,,yes,,No problems with this article
a001390,matthew,2020-04-22,yes,,yes,,yes,,1,1,osf.io/93cvs,yes,,https://osf.io/93cvs/,yes,,OSF,yes,,yes,,No problems with this article
a001392,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/jxf5q/,yes,,https://osf.io/jxf5q/,yes,,OSF,yes,,yes,,No problems with this article
a001482,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/7h6cy/,yes,,https://osf.io/7h6cy/,yes,,OSF,yes,,yes,,No problems with this article
a001500,matthew,2020-04-22,yes,,yes,,yes,,1,1,osf.io/mpf64,yes,,https://osf.io/mpf64/,yes,,OSF,yes,,yes,,No problems with this article
a001502,matthew,2020-04-22,yes,,yes,,yes,,2,1,https://osf.io/c6wm5/,yes,,https://osf.io/c6wm5/,yes,,OSF,yes,,yes,,No problems with this article
a001502,matthew,2020-04-22,yes,,yes,,yes,,2,2,https://osf.io/3uqx6/,yes,,https://osf.io/3uqx6/,yes,,OSF,yes,,yes,,No problems with this article
a001520,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/84xut/,yes,,https://osf.io/84xut/,yes,,OSF,yes,,yes,,No problems with this article
a001525,matthew,2020-04-22,yes,,yes,,yes,,2,1,https://osf.io/yjer4/,yes,,https://osf.io/yjer4/,yes,,OSF,yes,,yes,,Repository contained no data
a001525,matthew,2020-04-22,yes,,yes,,yes,,2,2,https://osf.io/d2wur/files/,yes,,https://osf.io/d2wur/files/,yes,,OSF,yes,,yes,,No problems with this article
a001551,matthew,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/dnxfz/,yes,,https://osf.io/dnxfz/,yes,,OSF,yes,,yes,,No problems with this article
a001605,matthew,2020-04-22,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/STOQ1Q,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/STOQ1Q,yes,,Harvard Dataverse,yes,,yes,,"The repository only contained the Open Materials badge, and not the Open Data badge."
a000049,matthew,2020-04-23,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/DTFR60,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DTFR60,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000107,matthew,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/4bsw8/,yes,,https://osf.io/4bsw8/,yes,,OSF,yes,,yes,,No problems with this article
a000127,matthew,2020-04-23,yes,,yes,,yes,,2,1,https://osf.io/ezqft/,no,,https://osf.io/ezqft/%20and%20https://osf.io/6rfmv/,yes,,OSF,no,,,,Link was invalid (lead to Page not found)
a000127,matthew,2020-04-23,yes,,yes,,yes,,2,2,https://osf.io/6rfmv/,no,,https://osf.io/ezqft/%20and%20https://osf.io/6rfmv/,yes,,OSF,no,,,,Link was invalid (lead to Page not found)
a000160,matthew,2020-04-23,yes,,yes,,yes,,1,1,http://childes.talkbank.org/,yes,,https://childes.talkbank.org/,other,"Not a familiar page, i don't know if it is a repository",CHILDES,no,The link lead to the homepage of CHILDES and the user interface was not friendly in locating the file,no,,"The link lead to the homepage of the repository, which made the user manually find the data to the document, after looking for it for 10 minutes, I could not locate the file"
a000206,matthew,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/afdkq/,yes,,https://osf.io/afdkq/,yes,,OSF,yes,,yes,,No problems with this article
a000219,matthew,2020-04-23,yes,,yes,,no,,0,,,,,,,,,,,,,The page said that the data is available in the online supplement of the article.
a000303,matthew,2020-04-23,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/WZV20D,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WZV20D,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000347,matthew,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/ha28n/,yes,,https://osf.io/ha28n,yes,,OSF,yes,,yes,,No problems with this article
a000378,matthew,2020-04-23,yes,,yes,,yes,,1,1,osf.io/b9mnr,yes,,https://osf.io/b9mnr/,yes,,OSF,yes,,yes,,No problems with this article
a000379,matthew,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/d7w8a/,yes,,https://osf.io/d7w8a,yes,,OSF,yes,,yes,,No problems with this article
a000423,matthew,2020-04-23,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/D5DEHM,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/D5DEHM,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a000525,matthew,2020-04-23,yes,,no,,no,,0,,,,,,,,,,,,,The mention of open data and no link provided
a000554,matthew,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/u9ac3/,yes,,https://osf.io/u9ac3/,yes,,OSF,yes,,yes,,No problems with this article
a000579,matthew,2020-04-26,yes,,yes,,yes,,2,1,https://osf.io/gytpn/,yes,,https://osf.io/gytpn/,yes,,OSF,yes,,yes,,No problems with this article
a000579,matthew,2020-04-26,yes,,yes,,yes,,2,2,https://osf.io/x6ehp/,yes,,https://osf.io/x6ehp/,yes,,OSF,yes,,yes,,No problems with this article
a000615,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/vy62h/,yes,,https://osf.io/vy62h/,yes,,OSF,yes,,yes,,No problems with this article
a000621,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/6xgfn/,yes,,https://osf.io/6xgfn/,yes,,OSF,yes,,yes,,No problems with this article
a000674,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://bit.ly/2JI8RlP,yes,,https://osf.io/jqpnm/?view_only=c20b81f66ad34e2ea0361574002e0bce,yes,,OSF,yes,,yes,,No problems with this article
a000678,matthew,2020-04-26,yes,,no,,yes,,1,1,,,,,,,,,,,,"There was a visible hyperlink in the document, however it was unclickable."
a000700,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/8y2ga/,yes,,https://osf.io/8y2ga/,yes,,OSF,yes,,yes,,No problems with this article
a000708,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/vkmep/,yes,,https://osf.io/vkmep/,yes,,OSF,yes,,yes,,No problems with this article
a000709,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/n8spz/,yes,,https://osf.io/n8spz/,yes,,OSF,yes,,yes,,No problems with this article
a000713,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://doi.org/10.17605/OSF.IO/EMF9H,yes,,https://osf.io/emf9h/,yes,,OSF,yes,,yes,,No problems with this article
a000753,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/8w4vq/,yes,,https://osf.io/8w4vq/,yes,,OSF,yes,,yes,,No problems with this article
a000785,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://iris-database.org,yes,,https://iris-database.org/iris/app/home/session-timeout,yes,,IRIS Database,no,,,,Required a login.
a000797,matthew,2020-04-26,yes,,yes,,yes,,1,1,https://osf.io/hymkc/,yes,,https://osf.io/hymkc/,yes,,OSF,yes,,yes,,No problems with this article
a000885,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/w59au/,yes,,https://osf.io/w59au/,yes,,OSF,yes,,yes,,No problems with this article
a000914,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/96cx7/,yes,,https://osf.io/96cx7/,yes,,OSF,yes,,yes,,No problems with this article
a000924,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/j8zge/,yes,,https://osf.io/j8zge/,yes,,OSF,yes,,yes,,No problems with this article
a000939,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/gdyu4,yes,,https://osf.io/gdyu4,yes,,OSF,yes,,yes,,No problems with this article
a001047,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/tyjpc/,yes,,https://osf.io/tyjpc/,yes,,OSF,yes,,yes,,No problems with this article
a001053,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/JNEQYJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JNEQYJ,yes,,Harvard Dataverse,yes,,yes,,No problems with this article
a001057,matthew,2020-04-28,yes,,yes,,yes,,1,1,http://doi:10.7910/DVN/FMJDCD,no,The urls is invalid,,,,,,,,,The url provided in the article is invalid
a001081,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/ptmqx/,yes,,https://osf.io/ptmqx/,yes,,OSF,yes,,yes,,No problems with this article
a001115,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/g2t36/,yes,,https://osf.io/g2t36/,yes,,OSF,yes,,yes,,No problems with this article
a001280,matthew,2020-04-28,yes,,yes,,yes,,2,1,https://osf.io/cxc6f/,no,,,,,,,,,,Invalid link
a001280,matthew,2020-04-28,yes,,yes,,yes,,2,2,https://osf.io/y3zcn/,no,,,,,,,,,,Invalid link
a001302,matthew,2020-04-28,yes,,yes,,yes,,1,1,doi:10.7910/DVN/BXXWWW.,no,"It is not a URL, the first link of a google search of this leads to the data",https://www.google.com/search?q=doi%3A10.7910%2FDVN%2FBXXWWW&rlz=1C1CHBF_en-GBAU890AU890&oq=doi%3A10.7910%2FDVN%2FBXXWWW&aqs=chrome..69i57j69i58.817j0j9&sourceid=chrome&ie=UTF-8,yes,,Harvard Dataverse,yes,,yes,,"The link was invalid, however, data is able to be found from a google search of the 'link' provided"
a001303,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/4exy7,yes,,https://osf.io/4exy7,yes,,OSF,yes,,yes,,No problems with this article
a001534,matthew,2020-04-28,yes,,yes,,yes,,1,1,https://osf.io/aqkgt/,yes,,https://osf.io/aqkgt/,yes,,OSF,yes,,yes,,No problems with this article
