article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a001445,andy,2020-11-16,yes,,yes,,yes,,1,1,https://osf.io/e2aks/,yes,,https://osf.io/e2aks/,yes,,OSF,yes,,yes,,No issues
a001470,andy,2020-11-16,yes,,yes,,yes,,1,1,https://osf.io/waeqn/,yes,,https://osf.io/waeqn,yes,,OSF,yes,,yes,,No issues
a001487,andy,2020-11-16,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/LNUYXZ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LNUYXZ,yes,,Harvard Dataverse,yes,,yes,,No issues
a001500,andy,2020-11-16,yes,,yes,,yes,,1,1,osf.io/mpf64,yes,,https://osf.io/mpf64/,yes,,OSF,yes,,yes,,No issues
a001529,andy,2020-11-16,yes,,yes,,yes,,1,1,http://doi.org/10.7910/DVN/B9SCDJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/B9SCDJ,yes,,Harvard Dataverse,yes,,yes,,No issues
a001655,andy,2020-11-16,yes,,yes,,yes,,1,1,https://osf.io/2cv4x/?view_only.d192b6df6a7b4c1ea49d19e819330f80.,yes,,https://osf.io/2cv4x/?view_only=d192b6df6a7b4c1ea49d19e819330f80,yes,,OSF,yes,,yes,,No issues
a000032,andy,2020-07-16,yes,,yes,,yes,,1,1,https://doi.org/10.6096/MISTRALS-HyMeX.1406,yes,,https://mistrals.sedoo.fr/HyMeX/?editDatsId=1406,other,Repository for a specific research program only,,yes,,other,Need a a password to login to download,
a000116,andy,2020-07-16,yes,,yes,,yes,,1,1,https://osf.io/gzytb/,yes,,https://osf.io/gzytb/,yes,,OSF,yes,,yes,,
a000117,andy,2020-07-17,yes,,yes,,yes,,1,1,http://archaeologydataservice.ac.uk/archives/view/greylit/,yes,,https://archaeologydataservice.ac.uk/archives/view/greylit/,yes,,Archaeology Data Service,no,,,,Data referred to here is no longer available in this format. It seems to have been incorporated into a larger bibliographic structure.
a000162,andy,2020-07-17,yes,,yes,,yes,,1,1,https://doi.pangaea.de/10.1594/PANGAEA.896587,yes,,https://doi.pangaea.de/10.1594/PANGAEA.896587,yes,,PANGAEA,yes,,yes,,
a000171,andy,2020-08-04,yes,,yes,,yes,,8,1,https://doi.org/10.6092/SNAP.cbbba251c17b55c737836768c8737589,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.cbbba251c17b55c737836768c8737589,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000171,andy,2020-08-04,yes,,yes,,yes,,8,2,https://doi.org/10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.10b2260a0617627002d437ea6a3df022,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000171,andy,2020-08-04,yes,,yes,,yes,,8,3,https://doi.org/10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.f56b827cffb9f0e99603c6ef4074de73,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
a000171,andy,2020-08-04,yes,,yes,,yes,,8,4,https://doi.org/10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,,https://snap.ogs.trieste.it/cache/index.jsp?doi=10.6092/SNAP.580bf950a46873e44295a7e29d66f077,yes,,SNAP,yes,,partial,"Over 30 files, downloaded first",
