article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes
a001517,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/YUM3K8.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YUM3K8,yes,NA,Havard Dataverse,yes,NA,yes,NA,No problems with this article
a001524,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/XRJ43D.,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XRJ43D,yes,NA,Havard Dataverse,yes,NA,yes,NA,No problems with this article
a001571,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/4ef6t/?view_only=b6f868173bd14b81ad8e9bb73b71014d,yes,NA,https://osf.io/4ef6t/?view_only=b6f868173bd14b81ad8e9bb73b71014d,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001577,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,2,1,https://www.usap-dc.org/view/project/p0010035,yes,NA,https://www.usap-dc.org/view/project/p0010035,no,NA,NA,yes,NA,other,file exceeds 500mb,"The process to download all data is complicated, with files seperates over 4 pages (leading from this page) and some data required a request to the website for download"
a001577,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,2,2,https://github.com/martinjpratt/ZoomAntarctica,yes,NA,https://github.com/martinjpratt/ZoomAntarctica,yes,NA,Github,yes,NA,other,file exceeds 500mb and took longer than 15 minutes,"Download took too long, however, there were diagrams and descriptions of the data below the file which was interesting."
a001584,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/8KNF3I,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8KNF3I,yes,NA,Havard Dataverse,yes,NA,yes,NA,No problems with this article
a001623,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/vjwsg/,yes,NA,https://osf.io/vjwsg/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a001627,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/QSXDUN,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/QSXDUN,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No problems with this article
a001628,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/tvyxz/wiki,yes,NA,https://osf.io/bxj9d/,yes,NA,OSF,yes,NA,yes,NA,"Had two links (other was : https://osf.io/7gy85), they ultimately lead to the same page. No problems with this article"
a001637,matthew,2020-04-17,yes,NA,yes,NA,yes,NA,1,1,http://doi.org/10.7910/DVN/KYI9AR,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KYI9AR,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No problems with this article
a000054,matthew,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/hgcet/,yes,NA,https://osf.io/hgcet/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000083,matthew,2020-04-21,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/rmjtg,yes,NA,https://osf.io/rmjtg/,yes,NA,OSF,yes,NA,other,download took longer than 15 min,Download took too long
a000136,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/9d6t4/,no,The provided link does not work,NA,NA,NA,NA,NA,NA,NA,NA,The provided link does not work
a000149,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,http://dx.doi.org/10.7910/DVN/7TA47E,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7TA47E,yes,NA,Harvard Dataverse,yes,NA,yes,NA,No problems with this article
a000170,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/23gc4/,yes,NA,https://osf.io/23gc4/,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000205,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https//osf.io/g6tnd/,yes,NA,https://osf.io/g6tnd,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000213,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/aj98f,yes,NA,https://osf.io/aj98f,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000230,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/gq7z2,yes,NA,https://osf.io/gq7z2,yes,NA,OSF,yes,NA,yes,NA,No problems with this article
a000309,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.14264/uql.2019.12,yes,NA,https://espace.library.uq.edu.au/view/UQ:21a02ec,yes,NA,UQ eSpace,yes,NA,partial,Some files were over 10GB,Files were too big
a000325,matthew,2020-04-22,yes,NA,yes,NA,yes,NA,2,1,https://osf.io/rt6un,yes,NA,https://osf.io/rt6un/,yes,NA,OSF,yes,NA,yes,NA,"Many of the folders downloaded were empty. However, the results and data file was not empty."
